sample	include
18048FL-06-02-31_S127_L002	True
18048FL-06-02-41_S137_L002	True
18048FL-06-02-27_S123_L002	True
18048FL-06-02-86_S182_L002	False
18048Fl-06-03-23_S215_L003	True
18048FL-06-01-58_S58_L001	True
18048FL-06-01-30_S30_L001	False
18048FL-06-01-20_S20_L001	True
18048FL-06-02-18_S114_L002	True
18048FL-06-02-59_S155_L002	True
18048FL-06-02-54_S150_L002	True
18048FL-06-02-22_S118_L002	True
18048FL-06-01-08_S8_L001	True
18048FL-06-01-45_S45_L001	True
18048FL-06-01-67_S67_L001	True
18048FL-06-02-92_S188_L002	True
18048FL-06-01-25_S25_L001	True
18048Fl-06-03-11_S203_L003	True
18048FL-06-01-35_S35_L001	True
18048FL-06-02-52_S148_L002	True
18048FL-06-01-33_S33_L001	True
18048FL-06-02-64_S160_L002	True
18048FL-06-02-94_S190_L002	True
18048Fl-06-03-02_S194_L003	True
18048FL-06-01-89_S89_L001	True
18048FL-06-02-24_S120_L002	True
18048FL-06-01-56_S56_L001	True
18048Fl-06-03-36_S228_L003	True
18048FL-06-02-53_S149_L002	False
18048FL-06-02-01_S97_L002	True
